#name per rinf rinf_err tinf tinf_err
2MASS_J05221817-2507112_A 1.748 1.0464561013198814 0.025322809646625543 0.934735861481415 0.03014823394724863
TOI-450_A 10.715 1.7428902745399348 0.03065486068353205 0.9675939434039682 0.03119304292880349
CM_Dra_A 1.268 1.062955531241397 0.0012857485091384983 0.9469308064669862 0.02180446779909671
KOI-126_A 1.722 1.0444899678712949 0.0038412687684887393 0.9728381353266605 0.011203830874057272
LSPM_J1112+7626_A 41.033 1.0504721433653474 0.01576368585719508 0.8714025659833314 0.04815982720043437
EPIC_211972086_A 6.016 0.9863911718003091 0.02229647644740996 0.9271061058041602 0.02562433305626957
2MASS_J00024841-2953539_A 1.098 1.090698956976309 0.015356849841924165 0.9588875195644097 0.011086519145205545
CU_Cnc_A 2.771 1.072254416565434 0.012968531423529705 0.886691804335172 0.04287629178551233
Gaia_DR3_604988891451223936_A 3.343 1.100501900788437 0.008950086392440736 0.8903422066628786 0.03075394685256603
2MASS_J23143816+0339493_A 1.722 1.021199210412338 0.00825086492339931 0.9557766302310027 0.04842592262613221
2MASS_J05525572-0044266_A 0.859 1.4412242560170092 0.016205114145639594 0.8972110068449907 0.006726947109740432
2MASS_J10305521+0334265_A 1.638 0.9954510396780863 0.01586084671555821 1.0148582346238966 0.01406891438086777
2MASS_J03262072+0312362_A 1.586 1.040332109040346 0.02309448198318648 0.8887538170850375 0.026628651244259137
2MASS_J04480963+0317480_A 0.827 1.0542558972959641 0.025035982742213622 1.0160173509043087 0.025783801618358398
2MASS_J07431157+0316220_A 1.548 1.0382253285125764 0.009972355321479671 0.9544206824995716 0.026422707210124147
LP_819-72_A 11.0 1.1010577347196766 0.04062378944449707 1.024302866174461 0.022800397434048988
YY_Gem_A 0.814 1.1230392783966632 0.013425342581049162 0.9650523250242554 0.024783228557350902
2MASS_J05221817-2507112_B 1.748 1.1081004746865488 0.025309398624910908 0.9366805680793293 0.0258995331417968
TOI-450_B 10.715 1.749042454794617 0.030284007516098617 0.9676858006163627 0.031195257067928462
CM_Dra_B 1.268 1.056298328987643 0.001438248104090551 0.9505232482580779 0.03064169336131273
KOI-126_B 1.722 1.0395874585971165 0.0038460109542260527 0.9675786003617415 0.01114564030715854
LSPM_J1112+7626_B 41.033 1.094124885445952 0.017981054160468128 0.8721005840880333 0.04618773167335888
EPIC_211972086_B 6.016 1.210926572469952 0.05384799182673177 0.9506866314727938 0.032845020775741175
2MASS_J00024841-2953539_B 1.098 1.1703756137425074 0.024387427789258006 0.9759744505973322 0.013516865483459381
CU_Cnc_B 2.771 1.05122051098923 0.02539067055307569 0.8881611528622771 0.04294832828742555
Gaia_DR3_604988891451223936_B 3.343 1.0770738420872068 0.015050422714180249 0.916155208757931 0.03167842868948094
2MASS_J23143816+0339493_B 1.722 1.0481320614592182 0.00986508426857304 0.9482851886574497 0.04804092198362732
2MASS_J05525572-0044266_B 0.859 1.9192271803336687 0.015954159109786464 0.918942334409323 0.006443450990378758
2MASS_J10305521+0334265_B 1.638 1.0442976636250818 0.015346015198995833 1.0150516077878085 0.01405014741123656
2MASS_J03262072+0312362_B 1.586 1.0426517295732582 0.026992843037959263 0.8940747920600187 0.02678182163523513
2MASS_J04480963+0317480_B 0.827 1.0852533570124274 0.018715727030274482 1.0146138487797125 0.025736022448790127
2MASS_J07431157+0316220_B 1.548 1.0225541346238736 0.016474133651625724 0.9540978516925184 0.026399315298632018
GU_Boo_B 0.489 1.1210409221669722 0.03781683548618481 0.961502816605182 0.03364210483003472
Kepler-453_B 27.322 1.0087519703693033 0.010183095873713473 0.9931600421230534 0.029759515247342126
Gaia_DR3_313579414867698176_B 14.277 1.0016276444276113 0.014682126641663976 1.0173751004713358 0.014665142445544396
Kepler-16_B 41.079 1.0327428305735542 0.0038426529077757736 1.0114481651687626 0.060554173257615425
TYC_4535-148-1_B 13.218 1.0414132002745768 0.013607077918074795 0.9476208738768632 0.009725150770594262
TOI-1338_B 14.608 1.0401509847090984 0.01554685515601793 0.9717952980064165 0.011671267218829284
Kepler-47_B 7.448 1.0437396237479215 0.009914057926433925 0.9706033825925963 0.029065561443048796
HD_284753_B 1.653 1.0748595379750883 0.02662162580507512 1.0165635076415858 0.028144049723590515
Gaia_DR3_6751389835685124992_B 9.269 1.0308495468647174 0.018142355793501916 1.3152595894253873 0.025544990297705066
HD_22064_B 9.135 1.118485272780702 0.024655415750567844 0.8974344686345739 0.02160738316614222
V530_Ori_B 6.111 1.0679867558027154 0.01287830657999544 0.9824442469171699 0.02947146034450743
